pdb_id	PDBbind_v18_subset	PLANet_v18	PDBbind_v18_subset_union_PLANet_v18
6ftz	0.3333333333333333	0.36619718309859156	0.36619718309859156
6f6n	0.22535211267605634	0.28125	0.28125
6ew6	0.43902439024390244	0.44	0.44
6f6i	0.6	0.5254237288135594	0.6
6g9b	0.2833333333333333	0.3170731707317073	0.3170731707317073
6ce8	0.5757575757575758	0.5757575757575758	0.5757575757575758
5osl	0.6176470588235294	0.3333333333333333	0.6176470588235294
5wi0	0.3090909090909091	0.34545454545454546	0.34545454545454546
6f5u	0.28888888888888886	0.28888888888888886	0.28888888888888886
6gjm	0.3333333333333333	0.35714285714285715	0.35714285714285715
6gx3	0.3333333333333333	0.38095238095238093	0.38095238095238093
5kh7	0.3829787234042553	0.38596491228070173	0.38596491228070173
6fzu	0.6944444444444444	0.6944444444444444	0.6944444444444444
6cef	0.5428571428571428	0.5428571428571428	0.5428571428571428
6fuh	0.3150684931506849	0.391304347826087	0.391304347826087
5qax	0.5641025641025641	0.5641025641025641	0.5641025641025641
5qb0	0.5714285714285714	0.6875	0.6875
6g9i	0.2692307692307692	0.31746031746031744	0.31746031746031744
5o1c	0.6046511627906976	0.6046511627906976	0.6046511627906976
6cbg	0.5675675675675675	0.59375	0.59375
6axq	0.5945945945945946	0.5945945945945946	0.5945945945945946
5yqn	0.4606741573033708	0.48314606741573035	0.48314606741573035
5var	0.26666666666666666	0.3	0.3
6g92	0.26229508196721313	0.30985915492957744	0.30985915492957744
5qb2	0.4375	0.47058823529411764	0.47058823529411764
6b0y	0.3170731707317073	0.4	0.4
6cee	0.41304347826086957	0.41304347826086957	0.41304347826086957
5oh2	0.2708333333333333	0.3191489361702128	0.3191489361702128
6fug	0.3870967741935484	0.3870967741935484	0.3870967741935484
6fuj	0.3787878787878788	0.3548387096774194	0.3787878787878788
6hdn	0.6666666666666666	0.68	0.68
6f20	0.4444444444444444	0.4444444444444444	0.4444444444444444
6cec	0.4418604651162791	0.4418604651162791	0.4418604651162791
6fui	0.38961038961038963	0.37662337662337664	0.38961038961038963
5o1e	0.5777777777777777	0.5777777777777777	0.5777777777777777
5o1a	0.5777777777777777	0.5777777777777777	0.5777777777777777
5o1f	0.5777777777777777	0.5777777777777777	0.5777777777777777
5wg6	0.25555555555555554	0.27102803738317754	0.27102803738317754
5oh4	0.25	0.25	0.25
6g07	0.4626865671641791	0.4507042253521127	0.4626865671641791
5yql	0.5	0.5223880597014925	0.5223880597014925
5yp5	0.6527777777777778	0.796875	0.796875
5yp6	0.4358974358974359	0.4358974358974359	0.4358974358974359
5w8h	0.30612244897959184	0.34782608695652173	0.34782608695652173
5o1d	0.5909090909090909	0.5909090909090909	0.5909090909090909
6fmk	0.6571428571428571	0.8769230769230769	0.8769230769230769
5h85	0.42857142857142855	0.48214285714285715	0.48214285714285715
5o1b	0.5526315789473685	0.5526315789473685	0.5526315789473685
6fut	0.4084507042253521	0.453125	0.453125
6gu4	0.4533333333333333	0.5846153846153846	0.5846153846153846
5w0l	0.4945054945054945	0.9027777777777778	0.9027777777777778
6fse	0.31746031746031744	0.36666666666666664	0.36666666666666664
5o5a	0.3442622950819672	0.3442622950819672	0.3442622950819672
6f6u	0.35135135135135137	0.4444444444444444	0.4444444444444444
5xyx	0.234375	0.3382352941176471	0.3382352941176471
5o1h	0.5909090909090909	0.5909090909090909	0.5909090909090909
6cq4	0.265625	0.3037974683544304	0.3037974683544304
6iik	0.2833333333333333	0.3	0.3
5otr	0.6129032258064516	0.30612244897959184	0.6129032258064516
6bg3	0.6461538461538462	0.44155844155844154	0.6461538461538462
6dq4	0.3246753246753247	0.3783783783783784	0.3783783783783784
