assay_chembl_id	assay_type
CHEMBL3370843	B
CHEMBL3887749	B
CHEMBL3362087	B
CHEMBL3362088	B
CHEMBL3888258	B
CHEMBL3375303	B
CHEMBL3405280	B
CHEMBL3405281	B
CHEMBL3405283	B
CHEMBL4338903	B
CHEMBL3582669	B
CHEMBL3582670	B
CHEMBL3582672	B
CHEMBL3598806	B
CHEMBL3598805	B
CHEMBL3598804	B
CHEMBL3599133	B
CHEMBL3599134	B
CHEMBL3599862	B
CHEMBL4380046	B
CHEMBL4380042	B
CHEMBL3607382	B
CHEMBL3803971	B
CHEMBL3888484	B
CHEMBL4014929	B
CHEMBL4014941	B
CHEMBL4014930	B
CHEMBL3888280	B
CHEMBL3888281	B
CHEMBL3888485	B
CHEMBL4341725	B
CHEMBL4341732	B
CHEMBL4341740	B
CHEMBL4180673	B
CHEMBL4180674	B
CHEMBL4038090	B
CHEMBL4038091	B
CHEMBL4014932	B
CHEMBL4014938	B
CHEMBL4182989	B
CHEMBL4182988	B
CHEMBL4370422	B
CHEMBL4370423	B
CHEMBL4144988	B
CHEMBL4137932	B
CHEMBL4306854	B
CHEMBL4137934	B
CHEMBL4306826	B
CHEMBL4137935	B
CHEMBL4137945	B
CHEMBL4137942	B
CHEMBL4137940	B
CHEMBL4137939	B
CHEMBL4137936	B
CHEMBL4186870	B
CHEMBL4186869	B
CHEMBL4182853	B
CHEMBL4220523	B
CHEMBL4220524	B
CHEMBL4222300	B
CHEMBL4222297	B
CHEMBL4266710	B
CHEMBL4266702	B
CHEMBL4264789	B
CHEMBL4264791	B
CHEMBL4266707	B
CHEMBL4266704	B
CHEMBL4264792	B
CHEMBL4370425	B
CHEMBL4432657	B
CHEMBL4432656	B
CHEMBL4345875	B
CHEMBL4341731	B
CHEMBL4432649	B
CHEMBL4481563	B
CHEMBL3227246	B
CHEMBL3227580	B
CHEMBL3242032	B
CHEMBL3242033	B
CHEMBL3242036	B
CHEMBL3271687	B
CHEMBL3368933	B
CHEMBL3368931	B
CHEMBL3784297	B
CHEMBL4235214	B
CHEMBL4394430	B
CHEMBL3111112	B
CHEMBL3419225	B
CHEMBL3743460	B
CHEMBL3772736	B
CHEMBL3772741	B
CHEMBL3773291	B
CHEMBL3772739	B
CHEMBL3811646	B
CHEMBL3743238	B
CHEMBL3811644	B
CHEMBL4132889	B
CHEMBL3419227	B
CHEMBL4650000	B
CHEMBL3599967	B
CHEMBL2319601	B
CHEMBL4158376	B
CHEMBL3599972	B
CHEMBL3599968	B
CHEMBL4158377	B
CHEMBL4158378	B
CHEMBL4158423	B
CHEMBL4312562	B
CHEMBL4312563	B
CHEMBL4312537	B
CHEMBL3116920	B
CHEMBL3116921	B
CHEMBL2395457	B
CHEMBL4019742	B
CHEMBL1763209	B
CHEMBL2396492	B
CHEMBL3867189	B
CHEMBL3867190	B
CHEMBL2394698	B
CHEMBL2394699	B
CHEMBL2394700	B
CHEMBL2395293	B
CHEMBL2395294	B
CHEMBL2396471	B
CHEMBL3130658	B
CHEMBL2421002	B
CHEMBL2423680	B
CHEMBL2423349	B
CHEMBL3100993	B
CHEMBL3396926	B
CHEMBL3271333	B
CHEMBL3271362	B
CHEMBL3116917	B
CHEMBL3889188	B
CHEMBL4184743	B
CHEMBL4312068	B
CHEMBL4312069	B
CHEMBL2421011	B
CHEMBL3096860	B
CHEMBL3755460	B
CHEMBL4036655	B
CHEMBL4144352	B
CHEMBL4388461	B
CHEMBL4425876	B
CHEMBL3425031	B
CHEMBL4138435	B
CHEMBL2412823	B
CHEMBL2412822	B
CHEMBL3091185	B
CHEMBL3091186	B
CHEMBL3091177	B
CHEMBL3091184	B
CHEMBL3091180	B
CHEMBL3091181	B
CHEMBL3091182	B
CHEMBL3091183	B
CHEMBL3091176	B
CHEMBL3425032	B
CHEMBL3242415	B
CHEMBL3242416	B
CHEMBL4138807	B
CHEMBL3782540	B
CHEMBL4610327	B
CHEMBL3858697	B
CHEMBL3858721	B
CHEMBL4138808	B
CHEMBL1772004	B
CHEMBL1772007	B
CHEMBL4232685	B
CHEMBL1776262	B
CHEMBL1947974	B
CHEMBL1947973	B
CHEMBL4434519	B
CHEMBL1786290	B
CHEMBL2061832	B
CHEMBL4431786	B
CHEMBL4031136	B
CHEMBL3110679	B
CHEMBL3865048	B
CHEMBL3773067	B
CHEMBL4431816	B
CHEMBL1786486	B
CHEMBL1786489	B
CHEMBL4388992	B
CHEMBL3091236	B
CHEMBL3091237	B
CHEMBL3364478	B
CHEMBL3369322	B
CHEMBL3369319	B
CHEMBL3411595	B
CHEMBL4006785	B
CHEMBL4337921	B
CHEMBL4382906	B
CHEMBL2351269	B
CHEMBL3369324	B
CHEMBL4417107	B
CHEMBL4417110	B
CHEMBL4417111	B
CHEMBL2350643	B
CHEMBL3880378	B
CHEMBL4232661	B
CHEMBL4151143	B
CHEMBL4151141	B
CHEMBL4232664	B
CHEMBL4327367	B
CHEMBL4392554	B
CHEMBL4392564	B
CHEMBL4392565	B
CHEMBL4479555	B
CHEMBL4479551	B
CHEMBL4222305	B
CHEMBL4432803	B
CHEMBL4432802	B
CHEMBL2173380	B
CHEMBL2173352	B
CHEMBL2350652	B
CHEMBL3090823	B
CHEMBL3090816	B
CHEMBL3134897	B
CHEMBL3390904	B
CHEMBL3390903	B
CHEMBL3390901	B
CHEMBL3421227	B
CHEMBL3421226	B
CHEMBL3421225	B
CHEMBL3421208	B
CHEMBL3420968	B
CHEMBL4479561	B
CHEMBL2175616	B
CHEMBL2175606	B
CHEMBL2175495	B
CHEMBL2175496	B
CHEMBL2175497	B
CHEMBL2175498	B
CHEMBL2175605	B
CHEMBL2175607	B
CHEMBL4048166	B
CHEMBL2350651	B
CHEMBL3421220	B
CHEMBL4479560	B
CHEMBL2350637	B
CHEMBL3421215	B
CHEMBL3421462	B
CHEMBL3421243	B
CHEMBL3888978	B
CHEMBL4004680	B
CHEMBL4004681	B
CHEMBL4004683	B
CHEMBL4322121	B
CHEMBL3705424	B
CHEMBL4028400	B
CHEMBL4004678	B
CHEMBL4322139	B
CHEMBL4479552	B
CHEMBL4480297	B
CHEMBL4479562	B
CHEMBL4480299	B
CHEMBL4480300	B
CHEMBL1819932	B
CHEMBL3378196	B
CHEMBL3378197	B
CHEMBL3378198	B
CHEMBL3378201	B
CHEMBL3378784	B
CHEMBL3626067	B
CHEMBL3863013	B
CHEMBL1958563	B
CHEMBL4153124	B
CHEMBL4153125	B
CHEMBL4200426	B
CHEMBL4344646	B
CHEMBL4405935	B
CHEMBL4405936	B
CHEMBL3877182	B
CHEMBL4033195	B
CHEMBL2415216	B
CHEMBL934306	F
CHEMBL3295544	B
CHEMBL3295545	B
CHEMBL4356304	B
CHEMBL4356311	B
CHEMBL2020838	B
CHEMBL766117	B
CHEMBL3755269	B
CHEMBL4356317	B
CHEMBL2330522	B
CHEMBL2330521	B
CHEMBL3295540	B
CHEMBL3295541	B
CHEMBL3295542	B
CHEMBL3295543	B
CHEMBL3591144	B
CHEMBL3755275	B
CHEMBL3755274	B
CHEMBL3755273	B
CHEMBL4356305	B
CHEMBL1120946	B
CHEMBL1120949	B
CHEMBL1120950	B
CHEMBL872962	B
CHEMBL699110	B
CHEMBL2317562	B
CHEMBL646945	B
CHEMBL645285	B
CHEMBL648689	B
CHEMBL648529	B
CHEMBL883277	B
CHEMBL648691	B
CHEMBL869865	B
CHEMBL866171	B
CHEMBL866172	B
CHEMBL2445167	B
CHEMBL4135397	B
CHEMBL644708	B
CHEMBL645287	B
CHEMBL648347	B
CHEMBL645288	B
CHEMBL648350	B
CHEMBL648285	B
CHEMBL644577	B
CHEMBL648683	B
CHEMBL644701	B
CHEMBL648701	B
CHEMBL644576	B
CHEMBL876577	B
CHEMBL645289	B
CHEMBL648346	B
CHEMBL881232	B
CHEMBL871552	B
CHEMBL871553	B
CHEMBL871554	B
CHEMBL1015636	B
CHEMBL1004838	B
CHEMBL984778	B
CHEMBL1060018	B
CHEMBL2439837	B
CHEMBL3088740	B
CHEMBL3224029	B
CHEMBL3243748	B
CHEMBL3583583	B
CHEMBL4144750	B
CHEMBL4229775	B
CHEMBL644704	B
CHEMBL1045247	B
CHEMBL4269906	B
CHEMBL4269910	B
CHEMBL4311874	B
CHEMBL645286	B
CHEMBL858254	B
CHEMBL648337	F
CHEMBL648286	B
CHEMBL644703	B
CHEMBL3887730	B
CHEMBL4406514	B
CHEMBL4269908	B
CHEMBL644700	B
CHEMBL644705	B
CHEMBL644735	B
CHEMBL4021433	B
CHEMBL644698	B
CHEMBL644734	B
CHEMBL1924800	B
CHEMBL2351563	B
CHEMBL3636785	B
CHEMBL2050648	B
CHEMBL2150608	B
CHEMBL925857	B
CHEMBL2343495	B
CHEMBL2343496	B
CHEMBL2341017	B
CHEMBL2341016	B
CHEMBL2341018	B
CHEMBL2341021	B
CHEMBL2341023	B
CHEMBL2341022	B
CHEMBL2341024	B
CHEMBL2341025	B
CHEMBL2341026	B
CHEMBL3291701	B
CHEMBL3742872	B
CHEMBL3742873	B
CHEMBL3807940	B
CHEMBL4011234	B
CHEMBL4011231	B
CHEMBL4186494	B
CHEMBL4630409	B
CHEMBL3361502	B
CHEMBL3742870	B
CHEMBL1279102	B
CHEMBL1279101	B
CHEMBL2184195	B
CHEMBL3862791	B
CHEMBL3875319	B
CHEMBL3875311	B
CHEMBL4041850	B
CHEMBL4155117	B
CHEMBL1107382	B
CHEMBL4425329	B
CHEMBL762496	B
CHEMBL762497	B
CHEMBL4198217	B
CHEMBL4268472	B
CHEMBL762828	B
CHEMBL968866	B
CHEMBL760830	B
CHEMBL762826	B
CHEMBL830357	B
CHEMBL831692	B
CHEMBL2345130	B
CHEMBL3860975	B
CHEMBL4028018	B
CHEMBL4194770	B
CHEMBL4198895	B
CHEMBL762821	B
CHEMBL1664616	B
CHEMBL1664617	B
CHEMBL4425326	B
CHEMBL4425324	B
CHEMBL828414	B
CHEMBL4425328	B
CHEMBL3242012	B
CHEMBL1919539	B
CHEMBL760828	B
CHEMBL760590	B
CHEMBL762822	B
CHEMBL762818	B
CHEMBL762825	B
CHEMBL762509	B
CHEMBL762823	B
CHEMBL757897	B
CHEMBL762827	B
CHEMBL762508	B
CHEMBL762820	B
CHEMBL762831	B
CHEMBL762498	B
CHEMBL827173	B
CHEMBL832838	B
CHEMBL827930	B
CHEMBL860521	B
CHEMBL871523	B
CHEMBL906422	B
CHEMBL989632	B
CHEMBL998833	B
CHEMBL962323	B
CHEMBL1106508	B
CHEMBL1909186	B
CHEMBL2184512	B
CHEMBL3387063	B
CHEMBL3405811	B
CHEMBL3405816	B
CHEMBL3860990	B
CHEMBL4058384	B
CHEMBL4194553	B
CHEMBL4198189	B
CHEMBL4200907	B
CHEMBL4397429	B
CHEMBL4398716	B
CHEMBL4425327	B
CHEMBL1930855	B
CHEMBL4397433	B
CHEMBL3055368	B
CHEMBL2415776	B
CHEMBL886847	B
CHEMBL757898	B
CHEMBL4425325	B
CHEMBL762824	B
CHEMBL823573	B
CHEMBL762829	B
CHEMBL760833	B
CHEMBL4014035	B
CHEMBL4146464	B
CHEMBL4198913	B
CHEMBL4268474	B
CHEMBL4353121	B
CHEMBL1059718	B
CHEMBL1042744	B
CHEMBL1058319	B
CHEMBL1073645	B
CHEMBL4194556	B
CHEMBL4620081	B
CHEMBL4027836	B
CHEMBL4027843	B
CHEMBL4027841	B
CHEMBL4027840	B
CHEMBL1909104	B
CHEMBL3106302	B
CHEMBL4314361	B
CHEMBL1285546	B
CHEMBL617643	B
CHEMBL617644	B
CHEMBL1046703	B
CHEMBL617645	B
CHEMBL1244853	B
CHEMBL1963817	F
CHEMBL860888	B
CHEMBL919498	B
CHEMBL919495	B
CHEMBL919496	B
CHEMBL919497	B
CHEMBL919499	B
CHEMBL919500	B
CHEMBL1061899	B
CHEMBL1052172	B
CHEMBL1908424	B
CHEMBL3820495	B
CHEMBL4328429	B
CHEMBL1104216	B
CHEMBL1174608	B
CHEMBL1908692	B
CHEMBL2163155	B
CHEMBL2161432	B
CHEMBL925553	B
CHEMBL925554	B
CHEMBL927234	B
CHEMBL933669	B
CHEMBL950218	B
CHEMBL950217	B
CHEMBL3088374	B
CHEMBL3887764	B
CHEMBL4256960	B
CHEMBL4256963	B
CHEMBL4256962	B
CHEMBL961253	B
CHEMBL4220355	B
CHEMBL814598	B
CHEMBL814595	B
CHEMBL814593	B
CHEMBL885330	B
CHEMBL814599	B
CHEMBL880611	B
CHEMBL896600	B
CHEMBL939179	B
CHEMBL939181	B
CHEMBL939183	B
CHEMBL969512	B
CHEMBL949479	B
CHEMBL2038198	B
CHEMBL2317309	B
CHEMBL3131649	B
CHEMBL3131652	B
CHEMBL3266219	B
CHEMBL3385865	B
CHEMBL4629642	B
CHEMBL4629644	B
CHEMBL873891	B
CHEMBL925134	B
CHEMBL866541	B
CHEMBL1114752	B
