PLANet_hold_out_2019_cpnd_name	PLANet_hold_out_2019_cpnd_affi	PLANet_hold_out_2019_cpnd_smiles	PLANet_v18_cpnd_name	PLANet_v18_cpnd_affi	PLANet_v18_cpnd_smiles	similarity
CHEMBL4105829_6f6i_CHEMBL490	3.1870866433571443	Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1	CHEMBL3711550_5ukm_CHEMBL490	5.860120913598763	Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1	1.0
CHEMBL4105829_6f6i_CHEMBL490	3.1870866433571443	Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1	CHEMBL3879860_4l9i_CHEMBL1708	3.50003813440381	Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1	1.0
CHEMBL4105829_6f6i_CHEMBL490	3.1870866433571443	Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1	CHEMBL4079_5ukk_CHEMBL1708	5.151603457459128	Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1	1.0
CHEMBL4105829_6f6i_CHEMBL490	3.1870866433571443	Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1	CHEMBL4079_5ukk_CHEMBL490	5.860120913598763	Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1	1.0
CHEMBL4225_6fyk_CHEMBL1967887	8.0	Cc1n[nH]c2ccc(-c3cncc(OCCN)c3)cc12	CHEMBL2147_5dgz_CHEMBL1967887	6.599997654072044	Cc1n[nH]c2ccc(-c3cncc(OCCN)c3)cc12	1.0
CHEMBL4225_6fyk_CHEMBL1970903	8.500038134403809	Cc1n[nH]c2ccc(-c3cncc(OCC(N)Cc4c[nH]c5ccccc45)c3)cc12	CHEMBL2147_5dgz_CHEMBL1970903	8.100015437450608	Cc1n[nH]c2ccc(-c3cncc(OCC(N)Cc4c[nH]c5ccccc45)c3)cc12	1.0
CHEMBL4225_6fyk_CHEMBL379218	9.292429823902065	Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccccc4)c3)cc12	CHEMBL2147_5dgz_CHEMBL2002726	7.0	Cc1n[nH]c2ccc(-c3cncc(OCC(N)Cc4ccccc4)c3)cc12	1.0
CHEMBL4225_6fyk_CHEMBL379218	9.292429823902065	Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccccc4)c3)cc12	CHEMBL2147_5dgz_CHEMBL379218	6.7447274948966935	Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccccc4)c3)cc12	1.0
CHEMBL4225_6fyl_CHEMBL1230165	8.397940008672037	O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12	CHEMBL2147_5o11_CHEMBL1230165	5.907630300370879	O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12	1.0
CHEMBL4225_6fyl_CHEMBL1230165	8.397940008672037	O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12	CHEMBL3629_3pe1_CHEMBL1230165	9.250921944742199	O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12	1.0
